AN_Award_id,AN_Actor_id,AN_Movie_id,Year,Category,Award_type
1,1,4,2005,Best Actor,Nominated
1,1,10,2014,Best Actor,Won
1,1,1,2016,Best Actor,Nominated
2,1,1,2005,Best Actor,Nominated
2,1,4,2014,Best Actor,Nominated
2,1,10,2016,Best Actor,Won
3,1,4,2005,Best Actor,Won
3,1,10,2014,Best Actor,Won
3,1,1,2016,Best Actor,won
6,1,4,2005,Best Actor,Nominated
6,1,1,2016,Best Actor,Won
1,2,5,2016,Best Actor,Nominated
2,2,5,2016,Best Actor,Nominated
3,2,5,2016,Best Actor,Won
1,3,7,2014,Best Actor,Won
2,3,7,2014,Best Actor,Won
3,3,7,2014,Best Actor,Won
4,3,7,2014,Best Actor,Nominated
5,3,7,2014,Best Actor,Won
6,3,7,2014,Best Actor,Nominated
1,5,11,2004,Best Supporting Actor,Won
3,5,11,2004,Best Supporting Actor,Nominated
6,5,11,2004,Best Supporting Actor,Won
1,6,2,2007,Best Actor,Nominated
3,6,2,2007,Best Actor,Nominated
4,6,2,2007,Best Actor,Nominated
6,6,2,2007,Best Actor,Nominated
1,7,9,1998,Best Actress,Nominated
3,7,9,1998,Best Actress,Nominated
6,7,9,1998,Best Actress,Nominated
1,8,6,2014,Best Actress,Nominated
3,8,6,2013,Best Actress,Nominated
6,8,6,2013,Best Actress,Nominated
1,9,3,2012,Best Actress,Won
2,9,3,2012,Best Actress,Nominated
3,9,3,2012,Best Actress,Won
6,9,3,2012,Best Actress,Won
1,10,4,2004,Best Supporting Actress,Won
2,10,4,2004,Best Supporting Actress,Won
3,10,4,2004,Best Supporting Actress,Nominated
6,10,4,2004,Best Supporting Actress,Won
