D_Award_id,D_Director_id,D_Movie_id,year,Category,Award_type
1,1,11,2005,Best Director,Won
3,1,11,2005,Best Director,Won
1,2,1,2016,Best Director,Won
2,2,1,2016,Best Director,Won
3,2,1,2016,Best Director,Won
1,3,10,2014,Best Director,Nominated
1,3,4,2004,Best Director,Nominated
3,3,4,2004,Best Director,Nominated
2,3,10,2004,Best Director,Nominated
2,3,4,2004,Best Director,Nominated
3,5,5,2016,Best Director,Nominated
2,5,5,2016,Best Director,Nominated
1,7,9,1998,Best Director,Won
2,7,9,1998,Best Director,Nominated
3,7,9,1998,Best Director,Won
1,9,3,2013,Best Director,Nominated
3,9,3,2013,Best Director,Nominated
