movie_id,title,rel_date,run_time,rating,budget,box_office,language,country,director_id,producer_id,production_company_id
1,"The Revenant",2015-12-25,156,8.1,135,518.4,English,USA,2,11,3
2,"The Pursuit of Happyness",2006-12-15,145,8,55,307.1,English,USA,6,10,8
3,"Silver Linings Playbook",2012-11-16,122,7.8,21,236.4,English,USA,9,7,2
4,"The Aviator",2004-12-25,170,7.5,110,213.7,English,USA,3,2,3
5,"The Martian",2015-10-02,144,8.1,108,630.2,English,USA,5,12,13
6,"August: Osage County",2014-01-10,130,7.3,25,74,English,USA,8,4,11
7,"The Theory of Everything",2014-11-07,123,7.7,15,123.7,English,USA,4,9,1
8,"Still Alice",2014-12-05,101,7.5,5,43.9,English,USA,10,3,7
9,Titanic,1997-12-19,194,7.7,200,2187,English,USA,7,6,12
10,"The Wolf of Wall Street",2013-12-25,180,8.2,155,392,English,USA,3,1,3
11,"Million Dollar Baby",2004-12-15,137,8.1,30,216.8,English,USA,1,5,4
